As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive Old,Netflix Release Date,Days In Top 10,Viewership Score,Netflix Exclusive,Streak,Rank Last Week
01/04/20,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76,No,3,2
01/04/20,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11,No,8,NA
01/04/20,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30,No,4,NA
01/04/20,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14,Yes,6,NA
01/04/20,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40,Yes,7,5
01/04/20,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45,Yes,2,NA
01/04/20,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55,Yes,5,4
01/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90,Yes,1,1
01/04/20,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15,Yes,9,NA
01/04/20,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5,Yes,10,NA
02/04/20,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84,No,3,2
02/04/20,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35,No,4,NA
02/04/20,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15,Yes,6,NA
02/04/20,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6,Yes,-1,NA
02/04/20,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7,Yes,-1,NA
02/04/20,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54,Yes,2,NA
02/04/20,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57,Yes,5,4
02/04/20,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4,No,-1,NA
02/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100,Yes,1,1
02/04/20,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8,Yes,7,NA
03/04/20,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92,No,3,2
03/04/20,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36,No,6,NA
03/04/20,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13,Yes,5,NA
03/04/20,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13,Yes,4,NA
03/04/20,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63,Yes,2,NA
03/04/20,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2,No,-1,NA
03/04/20,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3,No,-1,NA
03/04/20,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9,No,7,NA
03/04/20,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110,Yes,1,1
